,,,,,,,,,,,ORDEN,SERVICIO,,,
,,,,,,,,,,,5,,4,3,2
ORIGEN,LINEA,DESTINO,TIPO/NEGOCIACION,DIAS LIBRES,VIGENCIA DESDE ,VIGENCIA HASTA,AGENTE,CONTRATO,TT,MONEDA,20 GP,,40 GP,40 HC,40 NOR
AARHUS,CMA-CGM,GUAYAQUIL,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,QFARS0000007 - INCLUYE OTHC,34-36,EUROS,"€ 1,854.00",,"€ 3,015.00","€ 3,015.00",
AARHUS,CMA-CGM,POSORJA,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,QFARS0000007 - INCLUYE OTHC,34-36,EUROS,"€ 1,534.00",,"€ 2,555.00","€ 2,555.00",
AARHUS,Hapag Lloyd,POSORJA,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,"Q2512LIM00827 - SOLO HS CODE 19, 84. INCLUYE OTHC",37-40,EUROS,"€ 1,220.00",,"€ 1,820.00","€ 1,820.00",
AARHUS,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,GYE00058,36-47,EUROS,"€ 1,404.00",,"€ 2,509.00","€ 2,509.00",
ACAJUTLA,COSCO SHIPPING LINES CO. LTD.,GUAYAQUIL,DIRECTA,10,01/01/2026,31/01/2026,                                                                                                    ,00074058,15-20,DOLAR,$ 345.00,,$ 580.00,$ 580.00,
ACAJUTLA,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,15,01/01/2026,31/03/2026,                                                                                                    ,GYE00058,24-28,DOLAR,"$ 1,100.00",,"$ 1,350.00","$ 1,350.00",
ADELAIDE,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,15,01/01/2026,14/01/2026,                                                                                                    ,GYE00176,63-64,DOLAR,"$ 5,300.00",,"$ 6,300.00","$ 6,300.00",
ALEJANDRIA,CMA-CGM,GUAYAQUIL,AGENTE PROPIO,14,15/01/2026,31/01/2026,ARK BUSINESS & LOGISTICS                                                                            ,ARK,32-38,DOLAR,$ 920.00,,"$ 1,430.00","$ 1,430.00",
ALEJANDRIA,CMA-CGM,GUAYAQUIL,AGENTE PROPIO,7,15/01/2026,31/01/2026,ARK BUSINESS & LOGISTICS                                                                            ,ARK,32-38,DOLAR,$ 890.00,,"$ 1,400.00","$ 1,400.00",
ALEJANDRIA,CMA-CGM,GUAYAQUIL,DIRECTA,14,11/01/2026,11/01/2026,                                                                                                    ,SPOT,32-39,DOLAR,$ 894.00,,,"$ 1,478.00",
ALEJANDRIA,CMA-CGM,GUAYAQUIL,DIRECTA,14,18/01/2026,18/01/2026,                                                                                                    ,SPOT,32-39,DOLAR,$ 894.00,,,"$ 1,478.00",
